City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Iqaluit,CA,24.8,overcast clouds,63.7506,-68.5145,Frobisher Inn
5,Atuona,PF,80.11,overcast clouds,-9.8,-139.0333,Villa Enata
6,New Norfolk,AU,57.99,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
7,Iracoubo,GF,78.82,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
8,Port Alfred,ZA,73.0,broken clouds,-33.5906,26.891,The Halyards Hotel
9,Ushuaia,AR,53.6,few clouds,-54.8,-68.3,Albatros Hotel
10,Rikitea,PF,77.72,light rain,-23.1203,-134.9692,Pension Maro'i
11,Hobart,AU,57.99,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
12,Hermanus,ZA,69.01,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Homer,US,33.8,clear sky,59.6425,-151.5483,Beluga Lake Lodge
15,Bredasdorp,ZA,69.8,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
16,Cape Town,ZA,73.99,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
18,Praia Da Vitoria,PT,62.6,scattered clouds,38.7333,-27.0667,Hotel Branco I
19,Cairns,AU,78.8,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
21,Moratuwa,LK,78.8,clear sky,6.773,79.8816,Sa Mansion By Yoho
22,Le Moule,GP,77.0,broken clouds,16.3332,-61.3473,Lakaz Hananou
23,Busselton,AU,59.0,light rain,-33.65,115.3333,Observatory Guest House
25,Fairview,US,44.6,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
26,Lasa,IT,41.0,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
27,Puerto Ayora,EC,80.6,broken clouds,-0.7393,-90.3518,Castillo Galapagos
28,Isangel,VU,77.79,clear sky,-19.55,169.2667,Volcano Sea View Tree House
