City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Iqaluit,CA,63.7506,-68.5145,24.8,86,90,17.27,overcast clouds
1,Pervomayskoye,RU,43.919,46.7102,38.57,75,99,9.17,overcast clouds
2,Tokur,RU,53.1333,132.9,-24.29,87,76,3.22,broken clouds
3,Barrow,US,71.2906,-156.7887,-0.4,71,90,11.5,haze
4,Flin Flon,CA,54.7682,-101.865,-25.6,62,1,8.05,snow
5,Atuona,PF,-9.8,-139.0333,80.11,78,100,22.17,overcast clouds
6,New Norfolk,AU,-42.7826,147.0587,57.99,77,98,1.01,overcast clouds
7,Iracoubo,GF,5.4802,-53.2011,78.82,86,100,15.08,overcast clouds
8,Port Alfred,ZA,-33.5906,26.891,73.0,92,82,7.58,broken clouds
9,Ushuaia,AR,-54.8,-68.3,53.6,62,20,23.02,few clouds
10,Rikitea,PF,-23.1203,-134.9692,77.72,73,100,11.63,light rain
11,Hobart,AU,-42.8794,147.3294,57.99,82,93,4.61,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,69.01,86,92,1.01,overcast clouds
13,Homer,US,59.6425,-151.5483,33.8,86,1,4.61,clear sky
14,Onega,RU,63.9061,38.1404,7.59,95,100,3.94,light snow
15,Bredasdorp,ZA,-34.5322,20.0403,69.8,78,100,9.22,overcast clouds
16,Cape Town,ZA,-33.9258,18.4232,73.99,68,75,14.97,broken clouds
17,Chokurdakh,RU,70.6333,147.9167,-20.16,87,61,8.48,broken clouds
18,Praia Da Vitoria,PT,38.7333,-27.0667,62.6,77,40,11.07,scattered clouds
19,Cairns,AU,-16.9167,145.7667,78.8,89,90,1.14,overcast clouds
20,Semibratovo,RU,57.3046,39.5369,-2.2,71,75,8.95,broken clouds
21,Moratuwa,LK,6.773,79.8816,78.8,78,2,4.61,clear sky
22,Le Moule,GP,16.3332,-61.3473,77.0,88,75,5.75,broken clouds
23,Busselton,AU,-33.65,115.3333,59.0,95,100,1.99,light rain
24,Leningradskiy,RU,69.3833,178.4167,-13.11,77,15,6.2,few clouds
25,Fairview,US,40.8126,-73.999,44.6,29,1,9.22,clear sky
26,Lasa,IT,46.6166,10.7002,41.0,93,40,9.22,scattered clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,75,11.5,broken clouds
28,Isangel,VU,-19.55,169.2667,77.79,79,0,2.91,clear sky
29,Kamaishi,JP,39.2667,141.8833,39.76,84,83,4.45,broken clouds
30,East London,ZA,-33.0153,27.9116,73.4,94,20,2.3,few clouds
31,Bengkulu,ID,-3.8004,102.2655,76.37,78,99,5.03,overcast clouds
32,Saint-Augustin,CA,51.226,-58.6502,33.3,97,100,24.43,snow
33,Korla,CN,41.7597,86.1469,28.45,83,0,4.29,clear sky
34,Chengde,CN,40.9725,117.9361,23.05,94,20,1.54,few clouds
35,Punta Arenas,CL,-53.15,-70.9167,59.0,41,40,21.85,scattered clouds
36,Rovinj,HR,45.08,13.64,55.4,82,90,3.44,overcast clouds
37,Tecpan,GT,14.7623,-90.9947,75.2,46,0,13.8,clear sky
38,Yenagoa,NG,4.9247,6.2642,82.29,76,0,8.3,clear sky
39,Georgetown,MY,5.4112,100.3354,80.6,89,20,3.44,few clouds
40,Bluff,NZ,-46.6,168.3333,53.69,84,10,4.61,clear sky
41,Codrington,AU,-38.2667,141.9667,57.92,79,98,14.12,overcast clouds
42,Sterling,US,39.0062,-77.4286,48.99,39,90,6.91,overcast clouds
43,San Cristobal,VE,7.7669,-72.225,87.8,55,20,6.91,few clouds
44,Hilo,US,19.7297,-155.09,66.0,63,1,5.75,clear sky
45,Maraa,BR,-1.8333,-65.3667,83.82,77,86,0.43,overcast clouds
46,Saskylakh,RU,71.9167,114.0833,-34.74,81,97,5.97,overcast clouds
47,Andernach,DE,50.4333,7.4,37.99,94,100,1.99,overcast clouds
48,Port Lincoln,AU,-34.7333,135.8667,60.04,80,47,11.25,scattered clouds
49,Ixtapa,MX,20.7,-105.2,78.8,53,40,4.61,scattered clouds
50,Portel,BR,-1.9356,-50.8211,90.5,47,34,7.49,scattered clouds
